championId,championName,rank,targetChampionId,targetChampionName,laneKillRate,targetLaneKillRate,url
quinn,Quinn,1,kayle,Kayle,76.47,23.53,https://www.op.gg/champions/quinn/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
quinn,Quinn,2,lissandra,Lissandra,70.0,30.0,https://www.op.gg/champions/quinn/counters/top?region=kr&tier=emerald_plus&target_champion=lissandra
quinn,Quinn,3,yasuo,Yasuo,56.3,43.7,https://www.op.gg/champions/quinn/counters/top?region=kr&tier=emerald_plus&target_champion=yasuo
gragas,Gragas,1,kayle,Kayle,66.97,33.03,https://www.op.gg/champions/gragas/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
gragas,Gragas,2,monkeyking,Wukong,62.68,37.32,https://www.op.gg/champions/gragas/counters/top?region=kr&tier=emerald_plus&target_champion=monkeyking
gragas,Gragas,3,vayne,Vayne,61.67,38.33,https://www.op.gg/champions/gragas/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
volibear,Volibear,1,singed,Singed,62.82,37.18,https://www.op.gg/champions/volibear/counters/top?region=kr&tier=emerald_plus&target_champion=singed
volibear,Volibear,2,quinn,Quinn,61.7,38.3,https://www.op.gg/champions/volibear/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
volibear,Volibear,3,kayle,Kayle,58.59,41.41,https://www.op.gg/champions/volibear/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
kayle,Kayle,1,garen,Garen,51.2,48.8,https://www.op.gg/champions/kayle/counters/top?region=kr&tier=emerald_plus&target_champion=garen
kayle,Kayle,2,singed,Singed,50.44,49.56,https://www.op.gg/champions/kayle/counters/top?region=kr&tier=emerald_plus&target_champion=singed
kayle,Kayle,3,gwen,Gwen,49.33,50.67,https://www.op.gg/champions/kayle/counters/top?region=kr&tier=emerald_plus&target_champion=gwen
illaoi,Illaoi,1,singed,Singed,64.94,35.06,https://www.op.gg/champions/illaoi/counters/top?region=kr&tier=emerald_plus&target_champion=singed
illaoi,Illaoi,2,drmundo,Dr. Mundo,56.92,43.08,https://www.op.gg/champions/illaoi/counters/top?region=kr&tier=emerald_plus&target_champion=drmundo
illaoi,Illaoi,3,vayne,Vayne,56.42,43.58,https://www.op.gg/champions/illaoi/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
lissandra,Lissandra,1,singed,Singed,69.8,30.2,https://www.op.gg/champions/lissandra/counters/top?region=kr&tier=emerald_plus&target_champion=singed
lissandra,Lissandra,2,warwick,Warwick,64.44,35.56,https://www.op.gg/champions/lissandra/counters/top?region=kr&tier=emerald_plus&target_champion=warwick
lissandra,Lissandra,3,gwen,Gwen,64.38,35.62,https://www.op.gg/champions/lissandra/counters/top?region=kr&tier=emerald_plus&target_champion=gwen
ksante,K'Sante,1,singed,Singed,64.67,35.33,https://www.op.gg/champions/ksante/counters/top?region=kr&tier=emerald_plus&target_champion=singed
ksante,K'Sante,2,ryze,Ryze,64.55,35.45,https://www.op.gg/champions/ksante/counters/top?region=kr&tier=emerald_plus&target_champion=ryze
ksante,K'Sante,3,nasus,Nasus,63.3,36.7,https://www.op.gg/champions/ksante/counters/top?region=kr&tier=emerald_plus&target_champion=nasus
locke,Locke,1,singed,Singed,69.83,30.17,https://www.op.gg/champions/locke/counters/top?region=kr&tier=emerald_plus&target_champion=singed
locke,Locke,2,vladimir,Vladimir,69.61,30.39,https://www.op.gg/champions/locke/counters/top?region=kr&tier=emerald_plus&target_champion=vladimir
locke,Locke,3,drmundo,Dr. Mundo,67.54,32.46,https://www.op.gg/champions/locke/counters/top?region=kr&tier=emerald_plus&target_champion=drmundo
kennen,Kennen,1,vayne,Vayne,64.58,35.42,https://www.op.gg/champions/kennen/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
kennen,Kennen,2,riven,Riven,63.92,36.08,https://www.op.gg/champions/kennen/counters/top?region=kr&tier=emerald_plus&target_champion=riven
kennen,Kennen,3,yone,Yone,63.6,36.4,https://www.op.gg/champions/kennen/counters/top?region=kr&tier=emerald_plus&target_champion=yone
heimerdinger,Heimerdinger,1,vayne,Vayne,64.71,35.29,https://www.op.gg/champions/heimerdinger/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
heimerdinger,Heimerdinger,2,warwick,Warwick,63.28,36.72,https://www.op.gg/champions/heimerdinger/counters/top?region=kr&tier=emerald_plus&target_champion=warwick
heimerdinger,Heimerdinger,3,kayle,Kayle,62.5,37.5,https://www.op.gg/champions/heimerdinger/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
mordekaiser,Mordekaiser,1,gwen,Gwen,63.48,36.52,https://www.op.gg/champions/mordekaiser/counters/top?region=kr&tier=emerald_plus&target_champion=gwen
mordekaiser,Mordekaiser,2,vayne,Vayne,62.91,37.09,https://www.op.gg/champions/mordekaiser/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
mordekaiser,Mordekaiser,3,ryze,Ryze,60.58,39.42,https://www.op.gg/champions/mordekaiser/counters/top?region=kr&tier=emerald_plus&target_champion=ryze
tahmkench,Tahm Kench,1,quinn,Quinn,75.0,25.0,https://www.op.gg/champions/tahmkench/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
tahmkench,Tahm Kench,2,drmundo,Dr. Mundo,71.15,28.85,https://www.op.gg/champions/tahmkench/counters/top?region=kr&tier=emerald_plus&target_champion=drmundo
tahmkench,Tahm Kench,3,vladimir,Vladimir,68.85,31.15,https://www.op.gg/champions/tahmkench/counters/top?region=kr&tier=emerald_plus&target_champion=vladimir
nasus,Nasus,1,vayne,Vayne,64.73,35.27,https://www.op.gg/champions/nasus/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
nasus,Nasus,2,kayle,Kayle,60.58,39.42,https://www.op.gg/champions/nasus/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
nasus,Nasus,3,teemo,Teemo,58.58,41.42,https://www.op.gg/champions/nasus/counters/top?region=kr&tier=emerald_plus&target_champion=teemo
vladimir,Vladimir,1,vayne,Vayne,66.81,33.19,https://www.op.gg/champions/vladimir/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
vladimir,Vladimir,2,singed,Singed,66.16,33.84,https://www.op.gg/champions/vladimir/counters/top?region=kr&tier=emerald_plus&target_champion=singed
vladimir,Vladimir,3,warwick,Warwick,65.0,35.0,https://www.op.gg/champions/vladimir/counters/top?region=kr&tier=emerald_plus&target_champion=warwick
ryze,Ryze,1,kayle,Kayle,61.45,38.55,https://www.op.gg/champions/ryze/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
ryze,Ryze,2,gwen,Gwen,58.43,41.57,https://www.op.gg/champions/ryze/counters/top?region=kr&tier=emerald_plus&target_champion=gwen
ryze,Ryze,3,vayne,Vayne,54.89,45.11,https://www.op.gg/champions/ryze/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
gwen,Gwen,1,singed,Singed,55.68,44.32,https://www.op.gg/champions/gwen/counters/top?region=kr&tier=emerald_plus&target_champion=singed
gwen,Gwen,2,urgot,Urgot,55.06,44.94,https://www.op.gg/champions/gwen/counters/top?region=kr&tier=emerald_plus&target_champion=urgot
gwen,Gwen,3,drmundo,Dr. Mundo,53.49,46.51,https://www.op.gg/champions/gwen/counters/top?region=kr&tier=emerald_plus&target_champion=drmundo
aurora,Aurora,1,monkeyking,Wukong,83.33,16.67,https://www.op.gg/champions/aurora/counters/top?region=kr&tier=emerald_plus&target_champion=monkeyking
aurora,Aurora,2,gragas,Gragas,72.79,27.21,https://www.op.gg/champions/aurora/counters/top?region=kr&tier=emerald_plus&target_champion=gragas
aurora,Aurora,3,volibear,Volibear,69.88,30.12,https://www.op.gg/champions/aurora/counters/top?region=kr&tier=emerald_plus&target_champion=volibear
zac,Zac,1,quinn,Quinn,76.47,23.53,https://www.op.gg/champions/zac/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
zac,Zac,2,monkeyking,Wukong,68.89,31.11,https://www.op.gg/champions/zac/counters/top?region=kr&tier=emerald_plus&target_champion=monkeyking
zac,Zac,3,ryze,Ryze,65.79,34.21,https://www.op.gg/champions/zac/counters/top?region=kr&tier=emerald_plus&target_champion=ryze
